interview_id,run_idx,model_name,latency_ms,ca,exp,ps,rel,prof,comm
intv_0001,0,gpt-3.5-turbo,1495,8,7,7,7,6,6
intv_0001,1,gpt-3.5-turbo,962,8,7,7,7,6,6
intv_0001,2,gpt-3.5-turbo,1104,8,7,7,7,6,6
intv_0002,0,gpt-3.5-turbo,1416,8,7,7,7,6,6
intv_0002,1,gpt-3.5-turbo,1170,8,7,7,7,6,6
intv_0002,2,gpt-3.5-turbo,1102,8,7,7,7,6,6
intv_0003,0,gpt-3.5-turbo,1219,8,7,7,7,6,6
intv_0003,1,gpt-3.5-turbo,776,8,7,7,7,6,6
intv_0003,2,gpt-3.5-turbo,1041,8,7,7,7,6,6
intv_0004,0,gpt-3.5-turbo,3638,8,7,7,7,6,6
intv_0004,1,gpt-3.5-turbo,1533,8,7,7,7,6,6
intv_0004,2,gpt-3.5-turbo,788,8,7,7,7,6,6
intv_0005,0,gpt-3.5-turbo,1116,8,7,7,7,6,6
intv_0005,1,gpt-3.5-turbo,1109,8,7,7,7,6,6
intv_0005,2,gpt-3.5-turbo,1190,8,7,7,7,6,6
intv_0006,0,gpt-3.5-turbo,937,8,7,7,7,6,6
intv_0006,1,gpt-3.5-turbo,799,8,7,7,7,6,6
intv_0006,2,gpt-3.5-turbo,850,8,7,7,7,6,6
intv_0007,0,gpt-3.5-turbo,977,5,4,4,5,5,5
intv_0007,1,gpt-3.5-turbo,1220,8,7,7,7,6,6
intv_0007,2,gpt-3.5-turbo,916,8,7,7,7,6,6
intv_0008,0,gpt-3.5-turbo,1489,8,7,7,7,6,6
intv_0008,1,gpt-3.5-turbo,985,8,7,7,7,6,6
intv_0008,2,gpt-3.5-turbo,951,8,7,7,7,6,6
intv_0009,0,gpt-3.5-turbo,1175,8,7,7,7,6,6
intv_0009,1,gpt-3.5-turbo,1038,8,7,7,7,6,6
intv_0009,2,gpt-3.5-turbo,1015,8,7,7,7,6,6
intv_0010,0,gpt-3.5-turbo,1062,8,7,7,7,6,6
intv_0010,1,gpt-3.5-turbo,927,8,7,7,7,6,6
intv_0010,2,gpt-3.5-turbo,1005,8,7,7,7,6,6
intv_0011,0,gpt-3.5-turbo,1219,8,7,7,7,6,6
intv_0011,1,gpt-3.5-turbo,1129,8,7,7,7,6,6
intv_0011,2,gpt-3.5-turbo,853,8,7,7,7,6,6
intv_0012,0,gpt-3.5-turbo,1232,8,7,7,7,6,6
intv_0012,1,gpt-3.5-turbo,1260,8,7,7,7,6,6
intv_0012,2,gpt-3.5-turbo,1384,8,7,7,7,6,6
intv_0013,0,gpt-3.5-turbo,878,8,7,7,7,6,6
intv_0013,1,gpt-3.5-turbo,1305,8,7,7,7,6,6
intv_0013,2,gpt-3.5-turbo,976,8,7,7,7,6,6
intv_0014,0,gpt-3.5-turbo,1027,8,7,7,7,6,6
intv_0014,1,gpt-3.5-turbo,1154,8,7,7,7,6,6
intv_0014,2,gpt-3.5-turbo,686,8,7,7,7,6,6
intv_0015,0,gpt-3.5-turbo,1870,8,7,7,7,6,6
intv_0015,1,gpt-3.5-turbo,4082,8,7,7,7,6,6
intv_0015,2,gpt-3.5-turbo,1277,8,7,7,7,6,6
intv_0016,0,gpt-3.5-turbo,1241,8,7,7,7,6,6
intv_0016,1,gpt-3.5-turbo,786,8,7,7,7,6,6
intv_0016,2,gpt-3.5-turbo,1208,8,7,7,7,6,6
intv_0017,0,gpt-3.5-turbo,1192,8,7,7,7,6,6
intv_0017,1,gpt-3.5-turbo,1482,8,7,7,7,6,6
intv_0017,2,gpt-3.5-turbo,950,8,7,7,7,6,6
intv_0018,0,gpt-3.5-turbo,717,8,7,7,7,6,6
intv_0018,1,gpt-3.5-turbo,723,8,7,7,7,6,6
intv_0018,2,gpt-3.5-turbo,1309,8,7,7,7,6,6
