interview_id,ca_score_agg,ca_confidence,exp_score_agg,exp_confidence,ps_score_agg,ps_confidence,rel_score_agg,rel_confidence,prof_score_agg,prof_confidence,comm_score_agg,comm_confidence,overall_weighted_agg,p95_latency_ms
intv_0001,9,high,8,high,8,high,8,high,8,high,8,high,8.35,3346.5
intv_0002,8,high,8,high,8,high,8,high,7,high,8,high,7.95,2312.3
intv_0003,8,high,8,high,8,high,7,high,7,high,7,high,7.85,1907.1
intv_0004,8,high,8,high,8,high,8,high,8,high,7,high,7.95,11623.4
intv_0005,7,high,4,high,6,high,6,high,7,high,7,high,5.75,2735.2999999999997
intv_0006,7,high,5,high,6,high,6,high,7,high,7,high,6.1,1406.2
intv_0007,7,high,5,high,6,high,7,high,6,high,7,high,6.1,1544.4
intv_0008,8,high,7,high,7,high,7,high,8,high,7,high,7.4,1261.5
intv_0009,8,high,7,high,8,high,8,high,7,high,7,high,7.55,3688.9
intv_0010,8,high,8,high,8,high,8,high,8,high,8,high,8.0,8425.099999999999
intv_0011,8,high,8,high,8,high,8,high,7,high,7,high,7.9,1402.8
intv_0012,8,high,8,high,8,high,8,high,7,high,7,high,7.9,2676.3
intv_0013,8,high,8,high,8,high,8,high,7,high,8,high,7.95,1976.1
intv_0014,8,high,8,high,8,high,8,high,8,high,7,high,7.95,1929.9
intv_0015,8,high,8,high,7,high,7,high,7,high,7,high,7.7,2382.5
intv_0016,8,high,8,high,7,high,8,high,7,high,7,high,7.75,2512.2999999999997
intv_0017,7,high,4,high,6,high,7,high,7,high,7,high,5.8,1732.8
intv_0018,8,high,8,high,8,high,8,high,7,high,7,high,7.9,1492.4
intv_0019,8,high,8,high,7,high,8,high,7,high,7,high,7.75,1871.3
intv_0020,6,high,4,high,5,high,7,high,7,high,7,high,5.3,3188.5
intv_0021,7,high,6,high,6,high,6,high,7,high,7,high,6.45,2458.7
intv_0022,9,high,8,high,8,high,8,high,7,high,8,high,8.3,1066.3
intv_0023,8,high,8,high,8,high,8,high,8,high,7,high,7.95,1477.7
intv_0024,7,high,4,high,5,high,6,high,6,high,6,high,5.5,1899.6
intv_0025,8,high,8,high,8,high,8,high,7,high,7,high,7.9,1612.1
intv_0026,8,high,8,high,8,high,8,high,7,high,7,high,7.9,2174.2999999999997
intv_0027,8,high,8,high,7,high,7,high,7,high,7,high,7.7,1347.5
intv_0028,8,high,8,high,8,high,7,high,7,high,7,high,7.85,2224.2
intv_0029,8,high,7,high,7,high,7,high,7,high,8,high,7.4,2493.2999999999997
intv_0030,8,high,7,high,7,high,7,high,6,high,6,high,7.25,3785.2
intv_0031,8,high,8,high,8,high,8,high,7,high,7,high,7.9,1432.2
intv_0032,8,high,8,high,7,high,8,high,7,high,8,high,7.8,1733.4
intv_0033,8,high,8,high,8,high,7,high,8,high,8,high,7.95,1346.2
intv_0034,8,high,7,high,7,high,7,high,7,high,7,high,7.35,1126.1
intv_0035,8,high,8,high,8,high,8,high,7,high,7,high,7.9,2027.3
intv_0036,8,high,8,high,7,high,8,high,7,high,7,high,7.75,1491.8999999999999
intv_0037,8,high,7,high,8,high,8,high,7,high,7,high,7.55,1056.8
intv_0038,8,high,8,high,8,high,8,high,7,high,7,high,7.9,1389.2
intv_0039,6,high,5,high,6,high,7,high,7,high,7,high,5.8,1453.1
intv_0040,8,high,7,high,7,high,7,high,7,high,7,high,7.35,1164.0
intv_0041,6,high,3,high,5,high,6,high,6,high,7,high,4.85,1482.7
intv_0042,8,high,8,high,8,high,8,high,7,high,7,high,7.9,2213.6
intv_0043,9,high,8,high,8,high,8,high,8,high,7,high,8.3,1432.5
intv_0044,8,high,8,high,8,high,7,high,7,high,7,high,7.85,4103.2
intv_0045,8,high,8,high,8,high,7,high,7,high,7,high,7.85,5070.4
intv_0046,8,high,8,high,8,high,8,high,8,high,7,high,7.95,2117.1
intv_0047,8,high,8,high,7,high,8,high,7,high,7,high,7.75,1433.1
intv_0048,8,high,7,high,7,high,7,high,7,high,7,high,7.35,2014.6999999999998
intv_0049,6,high,3,high,5,high,6,high,6,high,6,high,4.8,2266.1
intv_0050,8,high,8,high,7,high,8,high,7,high,7,high,7.75,2054.9
