interview_id,run_idx,model_name,latency_ms,ca,exp,ps,rel,prof,comm
intv_0001,0,meta-llama/Llama-3.1-8B-Instruct:novita,2147,9,8,8,8,8,7
intv_0001,1,meta-llama/Llama-3.1-8B-Instruct:novita,1598,9,8,8,8,7,8
intv_0001,2,meta-llama/Llama-3.1-8B-Instruct:novita,1430,9,8,8,9,8,9
intv_0002,0,meta-llama/Llama-3.1-8B-Instruct:novita,1537,8,9,8,9,8,9
intv_0002,1,meta-llama/Llama-3.1-8B-Instruct:novita,1524,8,8,8,8,8,7
intv_0002,2,meta-llama/Llama-3.1-8B-Instruct:novita,1330,8,8,8,9,8,8
intv_0003,0,meta-llama/Llama-3.1-8B-Instruct:novita,2572,8,8,7,8,7,8
intv_0003,1,meta-llama/Llama-3.1-8B-Instruct:novita,1702,8,9,7,9,8,8
intv_0003,2,meta-llama/Llama-3.1-8B-Instruct:novita,1736,9,8,8,8,7,9
intv_0004,0,meta-llama/Llama-3.1-8B-Instruct:novita,1753,8,8,8,9,8,8
intv_0004,1,meta-llama/Llama-3.1-8B-Instruct:novita,1677,7,8,8,8,8,9
intv_0004,2,meta-llama/Llama-3.1-8B-Instruct:novita,1790,8,8,7,8,8,8
intv_0005,0,meta-llama/Llama-3.1-8B-Instruct:novita,1460,6,5,5,8,7,8
intv_0005,1,meta-llama/Llama-3.1-8B-Instruct:novita,1634,6,4,7,7,8,9
intv_0005,2,meta-llama/Llama-3.1-8B-Instruct:novita,1714,7,5,6,8,8,8
intv_0006,0,meta-llama/Llama-3.1-8B-Instruct:novita,1649,6,7,5,8,7,6
intv_0006,1,meta-llama/Llama-3.1-8B-Instruct:novita,1585,7,7,7,8,7,7
intv_0006,2,meta-llama/Llama-3.1-8B-Instruct:novita,1526,6,8,7,8,8,7
intv_0007,0,meta-llama/Llama-3.1-8B-Instruct:novita,1327,6,8,6,8,7,7
intv_0007,1,meta-llama/Llama-3.1-8B-Instruct:novita,1752,6,7,6,8,8,8
intv_0007,2,meta-llama/Llama-3.1-8B-Instruct:novita,1432,4,6,5,8,7,8
intv_0008,0,meta-llama/Llama-3.1-8B-Instruct:novita,1641,8,8,8,8,8,8
intv_0008,1,meta-llama/Llama-3.1-8B-Instruct:novita,1872,8,8,8,8,8,8
intv_0008,2,meta-llama/Llama-3.1-8B-Instruct:novita,1518,8,8,8,8,8,8
intv_0009,0,meta-llama/Llama-3.1-8B-Instruct:novita,1962,8,8,8,8,8,8
intv_0009,1,meta-llama/Llama-3.1-8B-Instruct:novita,1711,7,8,8,8,8,8
intv_0009,2,meta-llama/Llama-3.1-8B-Instruct:novita,1603,8,8,8,8,8,8
intv_0010,0,meta-llama/Llama-3.1-8B-Instruct:novita,1631,8,7,7,8,7,8
intv_0010,1,meta-llama/Llama-3.1-8B-Instruct:novita,1656,8,8,7,8,8,8
