interview_id,role,run_idx,model,ca,exp,ps,rel,prof,comm,latency_ms,input_tokens,output_tokens,cost
customer_service_representative_001,Customer Service Representative,0,gpt-3.5-turbo,4,3,4,2,3,3,1981.1599254608154,1554,51,0.0008535
customer_service_representative_001,Customer Service Representative,1,gpt-3.5-turbo,4,3,4,2,3,3,1469.2511558532715,1554,51,0.0008535
customer_service_representative_001,Customer Service Representative,2,gpt-3.5-turbo,4,3,4,2,3,3,1052.3972511291504,1554,51,0.0008535
customer_service_representative_001,Customer Service Representative,3,gpt-3.5-turbo,4,3,4,2,3,3,1448.5349655151367,1554,51,0.0008535
customer_service_representative_001,Customer Service Representative,4,gpt-3.5-turbo,4,3,4,2,3,3,819.3421363830566,1554,51,0.0008535
customer_service_representative_002,Customer Service Representative,0,gpt-3.5-turbo,3,2,3,2,3,2,822.9198455810547,1367,51,0.0007599999999999999
customer_service_representative_002,Customer Service Representative,1,gpt-3.5-turbo,3,2,3,2,3,2,836.5230560302734,1367,51,0.0007599999999999999
customer_service_representative_002,Customer Service Representative,2,gpt-3.5-turbo,3,2,3,2,3,2,1623.741865158081,1367,51,0.0007599999999999999
customer_service_representative_002,Customer Service Representative,3,gpt-3.5-turbo,3,2,3,2,3,2,1737.3030185699463,1367,51,0.0007599999999999999
customer_service_representative_002,Customer Service Representative,4,gpt-3.5-turbo,3,2,3,2,3,2,1355.8309078216553,1367,51,0.0007599999999999999
customer_service_representative_003,Customer Service Representative,0,gpt-3.5-turbo,4,3,3,2,3,2,689.9499893188477,1502,51,0.0008275
customer_service_representative_003,Customer Service Representative,1,gpt-3.5-turbo,4,3,3,2,3,2,1173.125982284546,1502,51,0.0008275
customer_service_representative_003,Customer Service Representative,2,gpt-3.5-turbo,4,3,3,2,3,2,975.0211238861084,1502,51,0.0008275
customer_service_representative_003,Customer Service Representative,3,gpt-3.5-turbo,4,3,3,2,3,2,817.9259300231934,1502,51,0.0008275
customer_service_representative_003,Customer Service Representative,4,gpt-3.5-turbo,4,3,3,2,3,2,779.3538570404053,1502,51,0.0008275
customer_service_representative_004,Customer Service Representative,0,gpt-3.5-turbo,4,2,3,2,3,3,1254.9128532409668,1425,51,0.000789
customer_service_representative_004,Customer Service Representative,1,gpt-3.5-turbo,4,2,3,2,3,2,829.1208744049072,1425,51,0.000789
customer_service_representative_004,Customer Service Representative,2,gpt-3.5-turbo,4,2,3,2,3,2,843.4238433837891,1425,51,0.000789
customer_service_representative_004,Customer Service Representative,3,gpt-3.5-turbo,4,2,3,2,3,2,673.2702255249023,1425,51,0.000789
