rater1,rater2,metric,bias,mae
gpt4o,gpt35,cognitive_ability,0.22,0.34
gpt4o,gpt35,experience,-0.1,1.18
gpt4o,gpt35,problem_solving,-0.24,0.8
gpt4o,gpt35,reliability,-0.42,0.66
gpt4o,gpt35,professionalism,-1.08,1.08
gpt4o,gpt35,communication,-1.1,1.1
gpt4o,llama,cognitive_ability,0.08163265306122448,0.32653061224489793
gpt4o,llama,experience,0.46938775510204084,0.5102040816326531
gpt4o,llama,problem_solving,0.3469387755102041,0.5510204081632653
gpt4o,llama,reliability,0.6530612244897959,0.6530612244897959
gpt4o,llama,professionalism,0.7142857142857143,0.7959183673469388
gpt4o,llama,communication,1.0,1.0
gpt4o,recruiter,cognitive_ability,-2.9,2.9
gpt4o,recruiter,experience,-1.22,1.74
gpt4o,recruiter,problem_solving,-0.36,1.12
gpt4o,recruiter,reliability,-1.54,1.66
gpt4o,recruiter,professionalism,-0.2,1.08
gpt4o,recruiter,communication,-2.22,2.22
gpt4o,owner,cognitive_ability,-2.26,2.3
gpt4o,owner,experience,-0.58,1.42
gpt4o,owner,problem_solving,-1.72,1.76
gpt4o,owner,reliability,-2.9,2.9
gpt4o,owner,professionalism,-1.56,1.56
gpt4o,owner,communication,-2.58,2.58
gpt35,llama,cognitive_ability,-0.12244897959183673,0.40816326530612246
gpt35,llama,experience,0.6122448979591837,1.2653061224489797
gpt35,llama,problem_solving,0.6122448979591837,1.0204081632653061
gpt35,llama,reliability,1.0816326530612246,1.0816326530612246
gpt35,llama,professionalism,1.816326530612245,1.816326530612245
gpt35,llama,communication,2.1020408163265305,2.1020408163265305
gpt35,recruiter,cognitive_ability,-3.12,3.12
gpt35,recruiter,experience,-1.12,1.12
gpt35,recruiter,problem_solving,-0.12,1.0
gpt35,recruiter,reliability,-1.12,1.12
gpt35,recruiter,professionalism,0.88,0.88
gpt35,recruiter,communication,-1.12,1.12
gpt35,owner,cognitive_ability,-2.48,2.48
gpt35,owner,experience,-0.48,1.0
gpt35,owner,problem_solving,-1.48,1.48
gpt35,owner,reliability,-2.48,2.48
gpt35,owner,professionalism,-0.48,1.0
gpt35,owner,communication,-1.48,1.48
llama,recruiter,cognitive_ability,-2.979591836734694,2.979591836734694
llama,recruiter,experience,-1.7142857142857142,2.0816326530612246
llama,recruiter,problem_solving,-0.7142857142857143,1.1224489795918366
llama,recruiter,reliability,-2.183673469387755,2.183673469387755
llama,recruiter,professionalism,-0.9183673469387755,1.0816326530612246
llama,recruiter,communication,-3.204081632653061,3.204081632653061
llama,owner,cognitive_ability,-2.3469387755102042,2.3469387755102042
llama,owner,experience,-1.0816326530612246,1.4489795918367347
llama,owner,problem_solving,-2.0816326530612246,2.122448979591837
llama,owner,reliability,-3.5510204081632653,3.5510204081632653
llama,owner,professionalism,-2.2857142857142856,2.2857142857142856
llama,owner,communication,-3.5714285714285716,3.5714285714285716
recruiter,owner,cognitive_ability,0.64,1.24
recruiter,owner,experience,0.64,1.24
recruiter,owner,problem_solving,-1.36,1.6
recruiter,owner,reliability,-1.36,1.6
recruiter,owner,professionalism,-1.36,1.6
recruiter,owner,communication,-0.36,0.84
