interview_id,run_idx,model_name,latency_ms,ca,exp,ps,rel,prof,comm
intv_0001,0,gpt-4o,3490,9,8,8,8,8,8
intv_0001,1,gpt-4o,1348,8,8,8,8,7,7
intv_0001,2,gpt-4o,2055,9,9,8,8,8,8
intv_0002,0,gpt-4o,2326,9,9,8,8,8,8
intv_0002,1,gpt-4o,1122,8,8,8,7,7,8
intv_0002,2,gpt-4o,2189,8,8,8,8,7,7
intv_0003,0,gpt-4o,1908,8,8,8,7,7,7
intv_0003,1,gpt-4o,1228,8,8,8,8,8,8
intv_0003,2,gpt-4o,1899,8,8,8,7,7,7
intv_0004,0,gpt-4o,1304,8,8,8,8,8,8
intv_0004,1,gpt-4o,12746,8,8,7,8,8,7
intv_0004,2,gpt-4o,1520,8,8,8,7,7,7
intv_0005,0,gpt-4o,1811,7,4,6,6,6,7
intv_0005,1,gpt-4o,2838,7,4,6,6,7,7
intv_0005,2,gpt-4o,1294,6,4,5,6,7,7
intv_0006,0,gpt-4o,1354,7,5,6,6,7,7
intv_0006,1,gpt-4o,1110,7,5,6,6,7,7
intv_0006,2,gpt-4o,1412,8,6,7,7,7,7
intv_0007,0,gpt-4o,1552,7,5,6,7,7,7
intv_0007,1,gpt-4o,1302,7,5,6,7,6,7
intv_0007,2,gpt-4o,1476,6,4,5,7,6,7
intv_0008,0,gpt-4o,960,8,7,7,7,8,8
intv_0008,1,gpt-4o,1295,7,6,7,8,7,7
intv_0008,2,gpt-4o,859,8,7,7,7,8,7
intv_0009,0,gpt-4o,995,8,8,8,8,7,7
intv_0009,1,gpt-4o,2455,8,7,7,7,6,6
intv_0009,2,gpt-4o,3826,8,7,8,8,7,7
intv_0010,0,gpt-4o,9174,8,8,8,7,7,8
intv_0010,1,gpt-4o,1490,8,8,8,8,8,8
intv_0010,2,gpt-4o,1685,8,7,7,8,8,7
intv_0011,0,gpt-4o,1203,8,8,8,8,7,7
intv_0011,1,gpt-4o,1196,8,8,8,8,8,7
intv_0011,2,gpt-4o,1425,8,8,8,8,7,7
intv_0012,0,gpt-4o,2726,8,8,8,7,7,7
intv_0012,1,gpt-4o,1623,8,8,8,8,7,7
intv_0012,2,gpt-4o,2229,8,7,8,8,7,7
intv_0013,0,gpt-4o,2063,8,7,8,8,7,8
intv_0013,1,gpt-4o,1194,8,8,8,8,8,8
intv_0013,2,gpt-4o,1003,8,8,8,8,7,8
intv_0014,0,gpt-4o,1398,8,8,7,8,8,7
intv_0014,1,gpt-4o,1947,8,8,8,8,7,7
intv_0014,2,gpt-4o,1776,8,7,8,9,8,8
intv_0015,0,gpt-4o,2499,8,8,7,8,7,7
intv_0015,1,gpt-4o,1295,8,8,8,7,7,7
intv_0015,2,gpt-4o,1334,8,8,7,7,7,7
intv_0016,0,gpt-4o,2626,8,8,7,8,7,8
intv_0016,1,gpt-4o,1016,8,7,7,7,6,6
intv_0016,2,gpt-4o,1489,8,8,7,8,7,7
intv_0017,0,gpt-4o,1761,7,4,6,6,7,7
intv_0017,1,gpt-4o,1296,7,3,6,7,6,7
intv_0017,2,gpt-4o,1479,7,4,6,7,7,7
intv_0018,0,gpt-4o,1503,8,8,7,8,7,7
intv_0018,1,gpt-4o,1090,9,8,8,7,7,7
intv_0018,2,gpt-4o,1397,8,8,8,8,7,7
intv_0019,0,gpt-4o,1847,8,8,8,8,7,7
intv_0019,1,gpt-4o,1874,8,8,7,8,7,7
intv_0019,2,gpt-4o,1176,8,8,7,8,7,7
intv_0020,0,gpt-4o,1474,6,4,5,7,7,6
intv_0020,1,gpt-4o,3379,7,5,6,7,7,8
intv_0020,2,gpt-4o,1189,6,4,5,6,6,7
intv_0021,0,gpt-4o,2530,7,6,6,6,7,7
intv_0021,1,gpt-4o,1037,7,5,6,6,6,7
intv_0021,2,gpt-4o,1817,8,6,7,7,7,7
intv_0022,0,gpt-4o,1070,9,8,8,8,8,8
intv_0022,1,gpt-4o,859,9,8,8,8,7,8
intv_0022,2,gpt-4o,1033,9,8,8,8,7,8
intv_0023,0,gpt-4o,1525,8,8,8,8,8,7
intv_0023,1,gpt-4o,1052,8,8,8,8,8,8
intv_0023,2,gpt-4o,1019,8,8,8,8,7,7
intv_0024,0,gpt-4o,1968,7,4,6,6,6,6
intv_0024,1,gpt-4o,830,7,3,5,6,6,6
intv_0024,2,gpt-4o,1284,6,5,5,6,6,6
intv_0025,0,gpt-4o,1190,8,8,8,8,7,7
intv_0025,1,gpt-4o,1137,9,8,8,8,7,8
intv_0025,2,gpt-4o,1659,8,8,8,7,7,7
intv_0026,0,gpt-4o,2305,8,8,8,7,7,7
intv_0026,1,gpt-4o,992,8,8,8,8,7,7
intv_0026,2,gpt-4o,998,8,8,8,8,8,8
intv_0027,0,gpt-4o,965,8,7,7,7,7,7
intv_0027,1,gpt-4o,1360,8,8,7,7,7,7
intv_0027,2,gpt-4o,1235,8,8,8,8,7,7
intv_0028,0,gpt-4o,1470,8,8,8,7,7,7
intv_0028,1,gpt-4o,2308,8,8,8,7,7,7
intv_0028,2,gpt-4o,1296,8,8,8,7,7,8
intv_0029,0,gpt-4o,1758,8,7,7,7,8,8
intv_0029,1,gpt-4o,2575,9,8,8,7,7,8
intv_0029,2,gpt-4o,1383,8,7,7,7,6,6
intv_0030,0,gpt-4o,1182,8,7,7,7,6,6
intv_0030,1,gpt-4o,1222,8,7,8,7,7,7
intv_0030,2,gpt-4o,4070,8,7,7,7,6,6
intv_0031,0,gpt-4o,1439,8,8,8,8,8,7
intv_0031,1,gpt-4o,1371,8,8,8,7,7,7
intv_0031,2,gpt-4o,1053,9,8,8,8,7,8
intv_0032,0,gpt-4o,1279,8,7,7,8,7,8
intv_0032,1,gpt-4o,1753,8,8,7,8,7,7
intv_0032,2,gpt-4o,1557,8,8,8,7,7,8
intv_0033,0,gpt-4o,1353,9,8,8,7,8,8
intv_0033,1,gpt-4o,1285,8,8,8,7,8,8
intv_0033,2,gpt-4o,1081,8,8,7,7,7,8
intv_0034,0,gpt-4o,1073,8,8,8,7,7,7
intv_0034,1,gpt-4o,1132,8,7,7,7,7,7
intv_0034,2,gpt-4o,1005,8,7,7,8,7,7
intv_0035,0,gpt-4o,1112,8,8,8,8,8,7
intv_0035,1,gpt-4o,1072,8,8,8,8,7,7
intv_0035,2,gpt-4o,2129,8,8,7,8,7,7
intv_0036,0,gpt-4o,1050,8,8,7,8,8,7
intv_0036,1,gpt-4o,1541,8,8,8,7,7,7
intv_0036,2,gpt-4o,976,8,8,7,8,7,7
intv_0037,0,gpt-4o,1065,8,7,7,8,7,8
intv_0037,1,gpt-4o,983,8,7,8,8,7,7
intv_0037,2,gpt-4o,968,8,7,8,8,7,7
intv_0038,0,gpt-4o,1395,8,8,8,8,7,7
intv_0038,1,gpt-4o,1265,9,8,8,8,7,7
intv_0038,2,gpt-4o,1337,8,8,7,8,8,7
intv_0039,0,gpt-4o,1466,6,4,5,6,6,7
intv_0039,1,gpt-4o,1193,6,5,6,7,7,7
intv_0039,2,gpt-4o,1337,7,5,6,7,7,7
intv_0040,0,gpt-4o,1168,8,7,7,7,7,7
intv_0040,1,gpt-4o,1035,8,7,7,7,7,7
intv_0040,2,gpt-4o,1128,8,7,7,7,7,7
intv_0041,0,gpt-4o,1521,6,4,5,6,7,7
intv_0041,1,gpt-4o,1122,6,3,5,5,6,7
intv_0041,2,gpt-4o,1138,6,3,5,6,6,7
intv_0042,0,gpt-4o,1227,8,8,8,8,7,7
intv_0042,1,gpt-4o,2274,9,8,8,8,8,8
intv_0042,2,gpt-4o,1670,8,8,7,8,7,7
intv_0043,0,gpt-4o,1095,9,8,8,9,8,8
intv_0043,1,gpt-4o,972,9,8,8,8,8,7
intv_0043,2,gpt-4o,1470,8,8,8,8,7,7
intv_0044,0,gpt-4o,1144,8,8,8,7,7,7
intv_0044,1,gpt-4o,1004,9,8,8,8,7,8
intv_0044,2,gpt-4o,4432,8,8,8,7,7,7
intv_0045,0,gpt-4o,1357,8,8,8,7,7,7
intv_0045,1,gpt-4o,905,8,8,7,8,7,7
intv_0045,2,gpt-4o,5483,8,8,8,7,7,7
intv_0046,0,gpt-4o,1276,8,8,8,8,8,7
intv_0046,1,gpt-4o,1749,8,7,7,7,7,7
intv_0046,2,gpt-4o,2158,8,8,8,8,8,7
intv_0047,0,gpt-4o,1444,8,8,7,8,8,7
intv_0047,1,gpt-4o,1335,8,7,7,8,7,7
intv_0047,2,gpt-4o,1234,8,8,8,8,7,8
intv_0048,0,gpt-4o,855,8,7,7,7,6,6
intv_0048,1,gpt-4o,2119,8,8,7,8,7,7
intv_0048,2,gpt-4o,1076,8,7,7,7,7,7
intv_0049,0,gpt-4o,2283,5,4,4,5,6,6
intv_0049,1,gpt-4o,2114,6,3,5,6,6,7
intv_0049,2,gpt-4o,1038,6,3,5,6,6,6
intv_0050,0,gpt-4o,1460,8,8,7,8,7,7
intv_0050,1,gpt-4o,1321,8,8,8,7,7,7
intv_0050,2,gpt-4o,2121,8,8,7,8,7,7
