interview_id,run_idx,model_name,prompt_version,temperature,json_valid,latency_ms,ca,exp,ps,rel,prof,comm
intv_0001,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1103,9,8,8,9,8,8
intv_0001,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1043,9,8,8,9,7,9
intv_0001,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1017,9,8,8,6,8,9
intv_0002,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1188,8,7,7,7,7,6
intv_0002,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1118,9,8,8,9,9,9
intv_0002,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1085,9,8,8,9,8,9
intv_0003,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1096,9,7,6,8,9,5
intv_0003,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1042,9,8,8,9,9,8
intv_0003,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1079,9,8,8,9,8,9
intv_0004,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1019,8,7,7,8,6,9
intv_0004,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,959,9,9,8,8,8,9
intv_0004,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,895,9,8,9,8,8,8
intv_0005,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1000,9,5,6,8,8,8
intv_0005,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1006,4,5,3,8,8,9
intv_0005,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1070,8,6,5,7,6,8
intv_0006,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1043,9,8,9,9,8,9
intv_0006,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1006,8,7,7,7,6,6
intv_0006,2,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1031,8,7,8,6,8,8
intv_0007,0,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,1425,8,7,8,8,7,7
intv_0007,1,meta-llama/Llama-3.2-3B-Instruct,score_v1,0.7,True,840,8,7,7,7,6,6
