interview_id,role,model,num_samples,ca_score,ca_confidence,ca_std,exp_score,exp_confidence,exp_std,ps_score,ps_confidence,ps_std,rel_score,rel_confidence,rel_std,prof_score,prof_confidence,prof_std,comm_score,comm_confidence,comm_std,overall_weighted_score,avg_latency_ms,total_cost,avg_cost_per_sample
customer_service_representative_001,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.6998542122237652,4.0,high,0.0,6.0,high,0.0,5.0,high,0.0,6.0,high,0.0,8.0,high,0.3499271061118826,4.65,1374.8112406049456,0.0,0.0
customer_service_representative_002,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,medium,1.3552618543578767,4.0,medium,0.989743318610787,5.0,medium,1.2453996981544782,5.0,high,0.4948716593053935,4.0,low,1.4846149779161806,6.0,medium,0.989743318610787,4.3,1346.8685831342425,0.0,0.0
customer_service_representative_003,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.0,6.0,high,0.0,5.0,high,0.0,6.0,high,0.0,7.0,high,0.3499271061118826,8.0,high,0.0,5.3,1374.476262501308,0.0,0.0
customer_service_representative_004,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.0,4.0,high,0.0,5.0,high,0.4948716593053935,3.0,high,0.34992710611188266,6.0,high,0.6998542122237652,8.0,medium,0.9897433186107869,4.4,1367.760351725987,0.0,0.0
customer_service_representative_005,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.0,4.0,high,0.0,4.0,high,0.6388765649999398,3.0,high,0.45175395145262565,4.0,high,0.0,6.0,high,0.0,4.05,1135.5553354535784,0.0,0.0
customer_service_representative_006,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,9.0,high,0.0,7.65,1241.6367190224785,0.0,0.0
customer_service_representative_007,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.0,4.0,high,0.0,3.0,high,0.4517539514526256,4.0,high,0.4517539514526256,6.0,high,0.0,6.0,high,0.9035079029052512,4.05,1345.9114347185407,0.0,0.0
customer_service_representative_008,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,8.0,high,0.4517539514526256,9.0,high,0.45175395145262565,8.0,high,0.4517539514526256,9.0,high,0.45175395145262565,9.0,high,0.0,8.25,1287.1920381273542,0.0,0.0
customer_service_representative_009,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,8.0,high,0.4948716593053935,9.0,high,0.4948716593053935,8.0,high,0.4948716593053935,9.0,high,0.4948716593053935,9.0,high,0.0,8.25,1404.2590005057198,0.0,0.0
customer_service_representative_010,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,9.0,high,0.0,7.65,1361.1460413251605,0.0,0.0
customer_service_representative_011,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.3499271061118826,8.0,high,0.0,9.0,high,0.0,7.65,1242.5071171351842,0.0,0.0
customer_service_representative_012,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,9.0,high,0.0,7.65,1272.5893769945417,0.0,0.0
customer_service_representative_013,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,8.0,high,0.4517539514526256,9.0,high,0.4517539514526257,8.0,high,0.0,9.0,high,0.4517539514526257,9.0,high,0.0,8.25,1360.311814716884,0.0,0.0
customer_service_representative_014,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,8.0,high,0.0,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.25,1404.1572298322405,0.0,0.0
customer_service_representative_015,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,6.0,high,0.0,5.0,high,0.0,6.0,high,0.0,5.0,high,0.0,6.0,high,0.0,6.0,high,0.0,5.6,1404.3769836425781,0.0,0.0
customer_service_representative_016,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.0,3.0,high,0.4517539514526256,4.0,high,0.6388765649999399,4.0,high,0.3499271061118826,5.0,high,0.4517539514526256,6.0,high,0.0,3.8,1345.73381287711,0.0,0.0
customer_service_representative_017,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.0,5.0,high,0.0,6.0,high,0.0,5.0,high,0.0,6.0,high,0.0,8.0,high,0.0,5.0,1327.8742858341761,0.0,0.0
customer_service_representative_018,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,7,4.0,high,0.0,3.0,high,0.45175395145262565,4.0,high,0.4948716593053935,4.0,high,0.7284313590846836,4.0,high,0.4948716593053935,6.0,high,0.0,3.75,1228.2633781433105,0.0,0.0
