interview_id,role,run_idx,model,ca,exp,ps,rel,prof,comm,latency_ms,input_tokens,output_tokens,cost
customer_service_representative_001,Customer Service Representative,0,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,6,5,6,8,1231.767177581787,1582,33,0.0
customer_service_representative_001,Customer Service Representative,1,meta-llama/Llama-3.1-8B-Instruct:novita,6,4,6,5,6,7,1095.703125,1582,33,0.0
customer_service_representative_001,Customer Service Representative,2,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,6,5,6,8,1255.0690174102783,1582,33,0.0
customer_service_representative_001,Customer Service Representative,3,meta-llama/Llama-3.1-8B-Instruct:novita,6,4,6,5,6,6,1505.0318241119385,1582,44,0.0
customer_service_representative_001,Customer Service Representative,4,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,6,5,6,6,1371.8409538269043,1582,44,0.0
customer_service_representative_002,Customer Service Representative,0,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,3,4,4,8,2257.4472427368164,1395,33,0.0
customer_service_representative_002,Customer Service Representative,1,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,4,5,5,6,1420.280933380127,1395,44,0.0
customer_service_representative_002,Customer Service Representative,2,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,3,5,4,6,1334.0039253234863,1395,44,0.0
customer_service_representative_002,Customer Service Representative,3,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,6,5,6,8,1081.4311504364014,1395,33,0.0
customer_service_representative_002,Customer Service Representative,4,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,4,4,4,8,1168.5049533843994,1395,33,0.0
customer_service_representative_003,Customer Service Representative,0,meta-llama/Llama-3.1-8B-Instruct:novita,4,6,5,6,7,8,1036.067008972168,1530,33,0.0
customer_service_representative_003,Customer Service Representative,1,meta-llama/Llama-3.1-8B-Instruct:novita,4,6,5,6,7,8,1266.1678791046143,1530,44,0.0
customer_service_representative_003,Customer Service Representative,2,meta-llama/Llama-3.1-8B-Instruct:novita,4,6,5,6,7,8,1281.5971374511719,1530,33,0.0
customer_service_representative_003,Customer Service Representative,3,meta-llama/Llama-3.1-8B-Instruct:novita,4,6,5,6,7,8,1263.3748054504395,1530,33,0.0
customer_service_representative_003,Customer Service Representative,4,meta-llama/Llama-3.1-8B-Instruct:novita,4,6,4,6,6,8,1274.4016647338867,1530,33,0.0
customer_service_representative_004,Customer Service Representative,0,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,5,3,6,8,1454.671859741211,1453,33,0.0
customer_service_representative_004,Customer Service Representative,1,meta-llama/Llama-3.1-8B-Instruct:novita,6,4,6,5,6,6,1232.349157333374,1453,44,0.0
customer_service_representative_004,Customer Service Representative,2,meta-llama/Llama-3.1-8B-Instruct:novita,4,4,5,3,6,8,1328.1688690185547,1453,33,0.0
