interview_id,cognitive_ability_score_llama,experience_score_llama,problem_solving_score_llama,reliability_score_llama,professionalism_score_llama,communication_score_llama,cognitive_ability_score_recruiter,experience_score_recruiter,problem_solving_score_recruiter,reliability_score_recruiter,professionalism_score_recruiter,communication_score_recruiter,cognitive_ability_score_owner,experience_score_owner,problem_solving_score_owner,reliability_score_owner,professionalism_score_owner,communication_score_owner
intv_0001,9.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0002,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0003,8.0,8.0,7.0,8.0,7.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0004,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0005,6.0,5.0,6.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0006,6.0,7.0,7.0,8.0,7.0,7.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0007,,,,,,,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0008,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0009,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0010,8.0,8.0,7.0,8.0,7.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0011,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0012,9.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0013,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0014,8.0,9.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0015,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0016,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0017,5.0,4.0,5.0,8.0,7.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0018,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0019,9.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0020,7.0,6.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0021,8.0,5.0,5.0,7.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0022,8.0,9.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0023,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0024,8.0,6.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0025,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0026,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0027,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0028,8.0,8.0,8.0,8.0,8.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0029,8.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0030,8.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0031,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0032,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0033,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0034,8.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0035,8.0,8.0,8.0,9.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0036,8.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0037,8.0,8.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0038,8.0,8.0,8.0,9.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0039,7.0,8.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0040,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0041,6.0,3.0,5.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0042,9.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0043,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0044,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0045,8.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0046,9.0,8.0,8.0,9.0,8.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0047,9.0,8.0,8.0,8.0,7.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0048,9.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
intv_0049,6.0,4.0,4.0,7.0,8.0,7.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0
intv_0050,8.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
